Item,Text,Sentiment,Trend,Source,Volume,Price Change,Category
Coffee,Coffee market is steady.,0.5,down,Market Analysis,1161,-2%,Agriculture
Coffee,Coffee prices are volatile.,0.6,up,Market Analysis,946,5%,Commodity
Rice,Rice market is unstable.,0.8,down,Market Analysis,1421,-9%,Agriculture
Oil,Oil prices are dropping.,0.6,up,Market Analysis,1456,1%,Agriculture
Milk,Milk production is high.,0.6,neutral,Social Media,1426,0%,Technology
Coffee,Coffee production is increasing.,0.4,neutral,Market Analysis,638,0%,Commodity
Electronics,Electronics sales are down.,0.5,up,News Website,1216,6%,Manufacturing
Wheat,Wheat production is high.,0.4,neutral,Market Analysis,1243,0%,Agriculture
Corn,Corn market is stable.,0.4,neutral,Market Analysis,1348,0%,Agriculture
Oil,Oil demand is increasing.,0.5,neutral,News Website,1010,0%,Agriculture
Coffee,Coffee prices are volatile.,0.7,up,Market Analysis,1910,5%,Agriculture
Corn,Corn prices are steady.,0.2,down,Social Media,654,-8%,Agriculture
Oil,Oil prices are dropping.,0.7,down,Social Media,1314,-4%,Agriculture
Milk,Milk production is high.,0.3,up,Government Report,1463,8%,Commodity
Coffee,Coffee production is increasing.,0.9,up,Social Media,1765,7%,Manufacturing
Milk,Milk market is fluctuating.,0.2,down,Government Report,684,-5%,Technology
Tea,Tea prices are on the rise.,0.7,up,Social Media,1956,4%,Commodity
Corn,Corn market is stable.,0.9,up,Social Media,1636,1%,Manufacturing
Milk,Milk production is high.,0.3,neutral,Government Report,1669,0%,Commodity
Wheat,Wheat production is high.,0.9,up,Government Report,1215,8%,Agriculture
Rice,Rice prices are fluctuating.,0.5,neutral,Market Analysis,771,0%,Manufacturing
Rice,Rice prices are increasing.,0.7,neutral,Social Media,1659,0%,Commodity
Sugar,Sugar prices are increasing.,0.7,up,Market Analysis,1623,9%,Technology
Tea,Tea market is growing.,0.3,down,Social Media,1845,-8%,Agriculture
Sugar,Sugar prices are volatile.,0.5,down,Social Media,1484,-5%,Agriculture
Corn,Corn production is high.,0.4,down,Social Media,1575,-2%,Manufacturing
Milk,Milk production is high.,0.9,down,Social Media,573,-2%,Commodity
Coffee,Coffee production is increasing.,0.9,down,News Website,883,-9%,Agriculture
Tea,Tea production is stable.,0.2,up,Market Analysis,1823,1%,Manufacturing
Oil,Oil prices are dropping.,0.9,neutral,Market Analysis,684,0%,Manufacturing
Milk,Milk production is high.,0.4,neutral,Market Analysis,621,0%,Commodity
Fruit,Fruit demand is steady.,0.6,neutral,News Website,1390,0%,Manufacturing
Fruit,Fruit production is decreasing.,0.5,neutral,Government Report,884,0%,Technology
Rice,Rice prices are fluctuating.,0.7,neutral,Social Media,1731,0%,Commodity
Milk,Milk prices are steady.,0.3,neutral,Government Report,1464,0%,Manufacturing
Oil,Oil market is recovering.,0.7,down,Market Analysis,1178,-7%,Commodity
Sugar,Sugar market is stable.,0.8,down,Market Analysis,644,-1%,Technology
Wheat,Wheat production is high.,0.3,neutral,Government Report,1781,0%,Manufacturing
Fruit,Fruit production is decreasing.,0.8,up,News Website,624,6%,Agriculture
Oil,Oil prices are fluctuating.,0.4,up,Market Analysis,1224,1%,Commodity
Milk,Milk production is high.,0.6,up,Market Analysis,1349,5%,Agriculture
Wheat,Wheat market is stable.,0.3,neutral,News Website,1779,0%,Commodity
Rice,Rice prices are increasing.,0.6,up,Social Media,1188,2%,Agriculture
Tea,Tea demand is stable.,0.7,up,Social Media,1026,9%,Manufacturing
Rice,Rice production is steady.,0.6,neutral,Government Report,814,0%,Technology
Rice,Rice production is steady.,0.3,up,Market Analysis,1739,2%,Commodity
Corn,Corn market is stable.,0.8,down,Social Media,1656,-6%,Manufacturing
Corn,Corn production is high.,0.7,down,News Website,603,-7%,Commodity
Sugar,Sugar market is stable.,0.5,up,Social Media,1097,9%,Technology
Sugar,Sugar prices are increasing.,0.5,down,News Website,786,-6%,Commodity
Oil,Oil prices are dropping.,0.4,neutral,Social Media,1233,0%,Agriculture
Fruit,Fruit market is fluctuating.,0.9,up,Government Report,1613,8%,Manufacturing
Electronics,Electronics market is growing.,0.2,neutral,Market Analysis,794,0%,Technology
Oil,Oil prices are fluctuating.,0.2,neutral,Social Media,1676,0%,Technology
Milk,Milk prices are increasing.,0.9,neutral,Market Analysis,1193,0%,Commodity
Wheat,Wheat production is high.,0.6,up,Social Media,1095,5%,Technology
Milk,Milk production is high.,0.2,neutral,Social Media,522,0%,Agriculture
Rice,Rice market is unstable.,0.8,neutral,News Website,1870,0%,Manufacturing
Wheat,Wheat prices are expected to rise.,0.7,up,Market Analysis,1258,9%,Agriculture
Wheat,Wheat production is high.,0.4,neutral,News Website,751,0%,Agriculture
Wheat,Wheat prices are dropping.,0.5,up,Market Analysis,547,4%,Technology
Milk,Milk prices are steady.,0.4,up,Social Media,1886,7%,Commodity
Milk,Milk production is high.,0.7,down,Market Analysis,998,-6%,Technology
Corn,Corn production is high.,0.5,neutral,Social Media,1040,0%,Technology
Milk,Milk production is high.,0.9,down,News Website,1700,-4%,Technology
Milk,Milk prices are increasing.,0.7,neutral,Government Report,560,0%,Manufacturing
Sugar,Sugar demand is rising.,0.7,down,News Website,700,-7%,Technology
Sugar,Sugar prices are increasing.,0.8,neutral,Social Media,881,0%,Technology
Tea,Tea demand is stable.,0.7,neutral,News Website,720,0%,Commodity
Tea,Tea production is stable.,0.7,down,Government Report,974,-3%,Commodity
Coffee,Coffee production is increasing.,0.7,neutral,Social Media,1978,0%,Commodity
Sugar,Sugar prices are volatile.,0.4,neutral,Market Analysis,1526,0%,Commodity
Wheat,Wheat prices are expected to rise.,0.7,up,Market Analysis,735,4%,Manufacturing
Coffee,Coffee production is increasing.,0.9,down,Social Media,1147,-7%,Commodity
Tea,Tea prices are on the rise.,0.6,neutral,Social Media,1280,0%,Technology
Wheat,Wheat prices are expected to rise.,0.2,neutral,Market Analysis,1439,0%,Technology
Oil,Oil prices are dropping.,0.6,down,Social Media,1045,-2%,Manufacturing
Corn,Corn market is stable.,0.6,up,Market Analysis,1049,3%,Commodity
Oil,Oil demand is increasing.,0.8,neutral,Social Media,1412,0%,Agriculture
Coffee,Coffee market is steady.,0.4,neutral,Government Report,1760,0%,Technology
Tea,Tea market is growing.,0.3,neutral,News Website,607,0%,Manufacturing
Corn,Corn market is stable.,0.8,up,News Website,720,6%,Manufacturing
Corn,Corn production is high.,0.9,up,Social Media,1998,8%,Agriculture
Oil,Oil prices are dropping.,0.7,up,Social Media,1697,1%,Commodity
Fruit,Fruit production is decreasing.,0.9,up,News Website,1310,4%,Commodity
Rice,Rice production is steady.,0.5,up,News Website,1348,1%,Agriculture
Electronics,Electronics sales are booming.,0.7,down,Government Report,752,-7%,Agriculture
Wheat,Wheat production is high.,0.2,neutral,News Website,1501,0%,Agriculture
Coffee,Coffee production is increasing.,0.8,neutral,News Website,1137,0%,Commodity
Fruit,Fruit prices are going up.,0.9,down,News Website,558,-5%,Agriculture
Wheat,Wheat production is high.,0.3,down,Government Report,1450,-4%,Technology
Milk,Milk prices are increasing.,0.5,down,Market Analysis,1558,-5%,Commodity
Wheat,Wheat prices are expected to rise.,0.5,up,Social Media,1892,6%,Agriculture
Fruit,Fruit market is fluctuating.,0.7,up,News Website,1157,5%,Commodity
Fruit,Fruit production is decreasing.,0.3,down,Market Analysis,679,-2%,Commodity
Rice,Rice prices are increasing.,0.2,up,News Website,1508,2%,Commodity
Coffee,Coffee prices are volatile.,0.5,up,News Website,1024,9%,Manufacturing
Coffee,Coffee prices are decreasing.,0.9,neutral,Government Report,1409,0%,Commodity
Milk,Milk market is fluctuating.,0.4,neutral,Market Analysis,984,0%,Commodity
Tea,Tea production is stable.,0.8,neutral,Market Analysis,1153,0%,Technology
Coffee,Coffee prices are decreasing.,0.8,down,Social Media,1935,-7%,Commodity
Corn,Corn prices are steady.,0.8,neutral,Market Analysis,1507,0%,Manufacturing
Rice,Rice production is steady.,0.6,neutral,Social Media,723,0%,Commodity
Fruit,Fruit market is fluctuating.,0.2,up,Market Analysis,506,8%,Manufacturing
Milk,Milk market is fluctuating.,0.4,neutral,Government Report,1765,0%,Technology
Oil,Oil market is recovering.,0.7,down,Government Report,813,-9%,Manufacturing
Electronics,Electronics sales are booming.,0.3,down,News Website,1980,-6%,Agriculture
Electronics,Electronics sales are down.,0.9,up,Social Media,847,5%,Commodity
Fruit,Fruit market is fluctuating.,0.7,down,News Website,1260,-4%,Commodity
Sugar,Sugar demand is rising.,0.4,neutral,Social Media,1384,0%,Agriculture
Corn,Corn production is lower than expected.,0.4,up,Social Media,1197,7%,Manufacturing
Wheat,Wheat prices are expected to rise.,0.2,up,News Website,966,9%,Manufacturing
Rice,Rice production is steady.,0.2,down,Social Media,1540,-6%,Technology
Coffee,Coffee prices are volatile.,0.8,down,Government Report,876,-2%,Manufacturing
Tea,Tea prices are on the rise.,0.3,neutral,Market Analysis,1580,0%,Agriculture
Oil,Oil prices are dropping.,0.2,neutral,Social Media,896,0%,Technology
Oil,Oil demand is increasing.,0.3,up,Government Report,1497,9%,Agriculture
Milk,Milk prices are steady.,0.8,down,Market Analysis,1472,-4%,Manufacturing
Fruit,Fruit demand is steady.,0.3,down,Social Media,1426,-9%,Technology
Electronics,Electronics prices are declining.,0.7,down,News Website,1123,-8%,Technology
Sugar,Sugar prices are increasing.,0.5,neutral,Market Analysis,887,0%,Agriculture
Corn,Corn market is stable.,0.4,down,Market Analysis,1849,-8%,Agriculture
Coffee,Coffee market is steady.,0.4,up,Market Analysis,678,7%,Commodity
Oil,Oil prices are fluctuating.,0.9,down,News Website,1646,-5%,Agriculture
Sugar,Sugar demand is rising.,0.2,up,News Website,1309,8%,Agriculture
Fruit,Fruit demand is steady.,0.8,neutral,Market Analysis,1094,0%,Manufacturing
Coffee,Coffee prices are volatile.,0.6,neutral,Social Media,1038,0%,Commodity
Coffee,Coffee prices are decreasing.,0.9,down,Social Media,745,-1%,Agriculture
Sugar,Sugar demand is rising.,0.4,up,News Website,591,4%,Commodity
Electronics,Electronics sales are booming.,0.9,down,Social Media,1178,-3%,Technology
Fruit,Fruit demand is steady.,0.6,neutral,Social Media,1190,0%,Agriculture
Corn,Corn production is lower than expected.,0.7,neutral,Market Analysis,1197,0%,Technology
Rice,Rice prices are fluctuating.,0.3,up,News Website,1947,6%,Technology
Tea,Tea production is stable.,0.6,neutral,News Website,1610,0%,Commodity
Wheat,Wheat prices are dropping.,0.5,neutral,Government Report,1742,0%,Agriculture
